mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,test_mean,test_std
semantic,semantic,avoid_walls,False,6,0,6,1,91.04,7.1754024277388115
episodic,episodic,avoid_walls,False,6,6,0,1,67.44,7.900531627681775
episodic,episodic,random,False,6,6,0,1,66.44000000000001,6.8464881508697575
random,episodic_semantic,avoid_walls,False,6,3,3,1,61.55999999999999,3.5023420735273683
random,episodic_semantic,random,False,6,3,3,1,58.54,5.004238203762887
random,episodic_semantic,avoid_walls,False,6,6,0,1,58.5,6.548893036231387
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,57.18000000000001,6.401687277585497
generalize,episodic_semantic,random,False,6,3,3,1,56.760000000000005,6.156817359642886
generalize,episodic_semantic,random,include_walls,6,3,3,1,56.760000000000005,6.156817359642886
random,episodic_semantic,avoid_walls,include_walls,6,0,6,1,56.52,6.26718437577833
random,episodic_semantic,random,False,6,6,0,1,56.419999999999995,5.86392360113943
semantic,semantic,random,False,6,0,6,1,56.21999999999999,21.862332903878304
semantic,semantic,avoid_walls,include_walls,6,0,6,1,55.32000000000001,6.188828645228433
random,episodic_semantic,random,include_walls,6,3,3,1,53.279999999999994,6.226845108078408
generalize,episodic_semantic,avoid_walls,include_walls,6,3,3,1,52.339999999999996,2.1322288807724177
random,episodic_semantic,avoid_walls,False,6,0,6,1,52.239999999999995,10.803814141311392
semantic,semantic,random,include_walls,6,0,6,1,46.3,11.94554310192718
random,episodic_semantic,random,False,6,0,6,1,41.339999999999996,13.746650501122083
random,episodic_semantic,random,include_walls,6,0,6,1,35.86,15.150920764098792
generalize,random,random,include_walls,6,3,3,1,33.72,3.6002222153639343
generalize,random,random,False,6,3,3,1,33.71999999999999,3.6002222153639343
generalize,episodic_semantic,avoid_walls,False,6,3,3,1,33.04,5.420553477275175
random,random,avoid_walls,include_walls,6,3,3,1,32.08,2.537242597782088
random,random,avoid_walls,False,6,3,3,1,31.98,6.2207395058787025
random,random,avoid_walls,False,6,6,0,1,31.72,3.6185079798170947
random,random,random,False,6,3,3,1,30.360000000000003,7.197944150936433
random,random,random,False,6,6,0,1,27.9,5.1056831080669305
random,random,random,include_walls,6,3,3,1,27.0,4.886307399253551
generalize,random,avoid_walls,include_walls,6,3,3,1,26.839999999999996,3.693020444026814
random,random,avoid_walls,include_walls,6,0,6,1,23.16,6.329170561771898
random,random,avoid_walls,False,6,0,6,1,22.82,6.121241704098932
random,random,random,False,6,0,6,1,22.4,7.439892472341251
random,random,random,include_walls,6,0,6,1,21.380000000000003,6.356854568102057
generalize,random,avoid_walls,False,6,3,3,1,16.68,1.251239385569364
episodic,episodic,avoid_walls,False,12,12,0,1,127.66,10.045018665985644
semantic,semantic,random,include_walls,12,0,12,1,126.5,11.81947545367391
semantic,semantic,random,False,12,0,12,1,110.22,14.428222343726205
semantic,semantic,avoid_walls,False,12,0,12,1,97.42,7.638690987335464
semantic,semantic,avoid_walls,include_walls,12,0,12,1,97.12,12.408771091449786
random,episodic_semantic,avoid_walls,False,12,12,0,1,94.82,13.241963600614525
random,episodic_semantic,avoid_walls,False,12,6,6,1,93.16,13.618898633883726
random,episodic_semantic,avoid_walls,include_walls,12,6,6,1,89.47999999999999,10.795999258984786
random,episodic_semantic,random,False,12,6,6,1,89.26000000000002,16.87466740412978
episodic,episodic,random,False,12,12,0,1,86.9,7.91277448181104
