mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,test_mean,test_std
episodic,episodic,avoid_walls,False,6,6,0,1,40.08,3.6300964174522967
semantic,semantic,random,False,6,0,6,1,38.52,3.034732278142506
episodic,episodic,random,False,6,6,0,1,29.0,1.7297398648351714
random,episodic_semantic,avoid_walls,False,6,3,3,1,28.580000000000002,1.5315351775261326
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,26.860000000000003,3.58697644263243
random,episodic_semantic,random,False,6,3,3,1,26.6,1.352035502492445
random,episodic_semantic,avoid_walls,False,6,6,0,1,24.880000000000003,1.826909959467078
generalize,episodic_semantic,random,False,6,3,3,1,24.220000000000002,2.0836506425022407
generalize,episodic_semantic,random,include_walls,6,3,3,1,24.220000000000002,2.0836506425022407
semantic,semantic,avoid_walls,False,6,0,6,1,23.8,3.5877569594385856
random,episodic_semantic,random,include_walls,6,3,3,1,23.66,3.132155807107941
random,episodic_semantic,random,False,6,0,6,1,23.12,3.6013330865111604
random,episodic_semantic,random,False,6,6,0,1,19.8,2.674322344071485
semantic,semantic,random,include_walls,6,0,6,1,17.3,1.5937377450509222
generalize,episodic_semantic,avoid_walls,False,6,3,3,1,16.720000000000002,1.4133647795243802
random,random,avoid_walls,False,6,3,3,1,16.4,1.2505998560690783
random,episodic_semantic,avoid_walls,False,6,0,6,1,15.2,3.9799497484264803
random,random,random,False,6,3,3,1,13.479999999999999,2.4604064704840947
random,random,avoid_walls,include_walls,6,3,3,1,13.16,2.0145470955031057
semantic,semantic,avoid_walls,include_walls,6,0,6,1,13.080000000000002,0.9846826900072936
generalize,episodic_semantic,avoid_walls,include_walls,6,3,3,1,12.84,2.235710177997139
random,random,avoid_walls,False,6,6,0,1,12.54,2.8032837887021
random,random,random,include_walls,6,3,3,1,12.080000000000002,1.9114392483152585
random,episodic_semantic,random,include_walls,6,0,6,1,11.1,1.2664912159190052
random,random,random,False,6,6,0,1,10.98,1.6473008225579204
generalize,random,random,False,6,3,3,1,10.940000000000001,1.4079772725438429
generalize,random,random,include_walls,6,3,3,1,10.940000000000001,1.4079772725438429
random,episodic_semantic,avoid_walls,include_walls,6,0,6,1,9.52,2.2247696509976036
random,random,random,False,6,0,6,1,8.46,1.625546062097288
generalize,random,avoid_walls,False,6,3,3,1,8.3,1.3813037319865609
random,random,avoid_walls,False,6,0,6,1,7.9,1.3160547101089681
random,random,random,include_walls,6,0,6,1,6.68,1.975246820020222
generalize,random,avoid_walls,include_walls,6,3,3,1,5.74,1.335065541462291
random,random,avoid_walls,include_walls,6,0,6,1,5.66,0.8475848040166837
episodic,episodic,avoid_walls,False,12,12,0,1,60.21999999999999,7.238894943290724
semantic,semantic,random,False,12,0,12,1,48.379999999999995,3.1390444405901614
semantic,semantic,avoid_walls,False,12,0,12,1,45.6,4.654460226492435
semantic,semantic,random,include_walls,12,0,12,1,43.660000000000004,4.315831322005068
episodic,episodic,random,False,12,12,0,1,43.120000000000005,2.8909514004908496
random,episodic_semantic,avoid_walls,False,12,12,0,1,41.58,7.966027868392126
random,episodic_semantic,avoid_walls,False,12,6,6,1,41.019999999999996,3.777512408980282
generalize,episodic_semantic,avoid_walls,False,12,6,6,1,40.08,3.6300964174522967
random,episodic_semantic,random,False,12,6,6,1,38.879999999999995,2.0643643089338677
generalize,episodic_semantic,avoid_walls,include_walls,12,6,6,1,36.220000000000006,2.895790047638123
random,episodic_semantic,avoid_walls,include_walls,12,6,6,1,33.980000000000004,2.376888722679292
random,episodic_semantic,random,False,12,12,0,1,33.120000000000005,3.78755858040506
random,episodic_semantic,random,False,12,0,12,1,31.76,2.4294855422496333
random,episodic_semantic,avoid_walls,False,12,0,12,1,29.240000000000002,5.66272019439421
random,episodic_semantic,random,include_walls,12,0,12,1,28.6,2.6343879744638987
random,episodic_semantic,random,include_walls,12,6,6,1,28.580000000000002,1.9973983077994235
generalize,episodic_semantic,random,False,12,6,6,1,28.360000000000003,1.544797721386201
generalize,episodic_semantic,random,include_walls,12,6,6,1,28.360000000000003,1.5447977213862012
random,episodic_semantic,avoid_walls,include_walls,12,0,12,1,25.520000000000003,4.897101183353271
semantic,semantic,avoid_walls,include_walls,12,0,12,1,24.4,5.0552942545414705
random,random,avoid_walls,False,12,12,0,1,23.360000000000003,2.6378779350076083
random,random,avoid_walls,False,12,6,6,1,20.9,2.9556725123057865
generalize,random,avoid_walls,False,12,6,6,1,19.479999999999997,1.9446336415890781
random,random,random,False,12,6,6,1,19.44,3.0289272028228083
