mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,61.82000000000001,6.077302032974832
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,61.0,5.093917942016736
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,60.660000000000004,4.721271015309332
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,59.379999999999995,4.941821526522378
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,59.2,3.9929938642577456
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,58.78000000000001,2.1018087448671463
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,58.52,2.1939917957914052
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,57.28000000000001,4.183969407153929
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,56.05999999999999,7.325189417346149
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,55.58,4.309245873699942
episodic,episodic,random,False,2,2,0,1,1.0,53.739999999999995,4.916340102149158
semantic,semantic,random,include_walls,2,0,2,1,0.5,52.260000000000005,3.938324516847234
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,51.720000000000006,5.150689274262231
semantic,semantic,random,include_walls,2,0,2,1,0.9,51.58,4.5366948321437714
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,50.580000000000005,3.423682228244904
semantic,semantic,random,False,2,0,2,1,0.5,49.89999999999999,3.449637662132069
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,49.0,3.456587912956937
semantic,semantic,random,include_walls,2,0,2,1,0.7,48.06,3.005062395358872
semantic,semantic,random,False,2,0,2,1,0.7,47.78,5.561079031986508
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,47.52,2.5926048676958087
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,47.18,3.3462815183424124
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,46.4,2.4779023386727723
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,45.34,1.7984437717093082
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,45.339999999999996,1.7984437717093085
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,45.339999999999996,1.7984437717093085
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,45.339999999999996,1.7984437717093085
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,45.0,1.584929020492715
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,45.0,1.584929020492715
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,44.99999999999999,1.584929020492715
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,44.99999999999999,1.584929020492715
semantic,semantic,random,False,2,0,2,1,0.99,44.9,2.6252618916976656
semantic,semantic,random,False,2,0,2,1,0.9,44.660000000000004,4.213122357587065
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,42.9,2.7691153822114383
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,42.9,2.7691153822114383
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,42.9,2.7691153822114383
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,42.9,2.7691153822114383
semantic,semantic,random,include_walls,2,0,2,1,0.99,42.32,4.581004256710532
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,42.18,4.18062196329685
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.9,38.480000000000004,2.89855136231877
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.99,38.480000000000004,2.89855136231877
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.5,38.48,2.89855136231877
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.7,38.48,2.89855136231877
random,episodic_semantic,random,include_walls,2,1,1,1,0.5,36.88,4.661072837877564
random,episodic_semantic,random,include_walls,2,1,1,1,0.7,36.88,4.661072837877564
random,episodic_semantic,random,include_walls,2,1,1,1,0.9,36.88,4.661072837877564
random,episodic_semantic,random,include_walls,2,1,1,1,0.99,36.88,4.661072837877564
random,episodic_semantic,random,False,2,1,1,1,0.5,36.67999999999999,2.863843571147
random,episodic_semantic,random,False,2,1,1,1,0.7,36.67999999999999,2.863843571147
random,episodic_semantic,random,False,2,1,1,1,0.9,36.67999999999999,2.863843571147
random,episodic_semantic,random,False,2,1,1,1,0.99,36.67999999999999,2.863843571147
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.99,30.26,7.865519690395543
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.99,29.72,6.466962192559966
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.9,29.380000000000003,2.6041505332833577
random,episodic_semantic,random,False,2,0,2,1,0.5,29.22,2.2798245546532754
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,29.1,2.747362371439196
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.7,28.9,3.7336309405188928
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.5,28.640000000000004,1.500133327407934
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,28.579999999999995,3.126915412990891
random,episodic_semantic,random,include_walls,2,0,2,1,0.9,28.1,2.730567706540163
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.7,27.939999999999998,1.2338557452149743
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.5,27.22,3.0188739622581147
random,episodic_semantic,random,include_walls,2,0,2,1,0.5,27.2,4.029392013691396
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.9,27.0,3.290592651787821
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.7,26.919999999999998,4.2248786964834855
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.99,26.880000000000003,3.948873257019019
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,26.7,1.3594116374373137
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.5,26.639999999999997,2.69859222558726
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,26.279999999999994,4.213027415054405
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.9,25.919999999999998,1.6509391266791151
random,episodic_semantic,random,False,2,0,2,1,0.7,25.060000000000002,4.024226633776979
random,episodic_semantic,random,False,2,2,0,1,1.0,25.0,3.038420642373271
random,episodic_semantic,random,include_walls,2,0,2,1,0.7,24.64,1.2658593918757326
random,episodic_semantic,random,False,2,0,2,1,0.9,24.54,2.589671793876591
random,episodic_semantic,avoid_walls,False,2,2,0,1,1.0,24.36,2.205991840420086
random,episodic_semantic,random,False,2,0,2,1,0.99,23.959999999999997,3.7022155528818153
random,random,avoid_walls,exclude_walls,2,1,1,1,0.5,22.580000000000002,1.3962807740565655
random,random,avoid_walls,exclude_walls,2,1,1,1,0.7,22.580000000000002,1.3962807740565655
random,random,avoid_walls,exclude_walls,2,1,1,1,0.9,22.580000000000002,1.3962807740565655
random,random,avoid_walls,exclude_walls,2,1,1,1,0.99,22.580000000000002,1.3962807740565655
random,random,avoid_walls,include_walls,2,1,1,1,0.7,21.560000000000002,1.781684596105607
random,random,avoid_walls,include_walls,2,1,1,1,0.99,21.560000000000002,1.781684596105607
random,random,avoid_walls,include_walls,2,1,1,1,0.5,21.56,1.781684596105607
random,random,avoid_walls,include_walls,2,1,1,1,0.9,21.56,1.7816845961056071
random,random,avoid_walls,False,2,1,1,1,0.5,21.060000000000002,1.2658593918757326
random,random,avoid_walls,False,2,1,1,1,0.9,21.060000000000002,1.2658593918757326
random,random,avoid_walls,False,2,1,1,1,0.7,21.06,1.2658593918757326
random,random,avoid_walls,False,2,1,1,1,0.99,21.06,1.2658593918757326
random,random,random,exclude_walls,2,1,1,1,0.7,20.940000000000005,1.324537655183875
random,random,random,exclude_walls,2,1,1,1,0.5,20.939999999999998,1.324537655183875
random,random,random,exclude_walls,2,1,1,1,0.9,20.939999999999998,1.3245376551838748
random,random,random,exclude_walls,2,1,1,1,0.99,20.939999999999998,1.3245376551838748
random,episodic_semantic,random,include_walls,2,0,2,1,0.99,20.16,1.962243613825766
random,random,random,False,2,1,1,1,0.5,19.46,1.5435025105259788
random,random,random,False,2,1,1,1,0.9,19.46,1.5435025105259788
random,random,random,False,2,1,1,1,0.99,19.46,1.5435025105259788
random,random,random,False,2,1,1,1,0.7,19.459999999999997,1.5435025105259788
random,random,random,include_walls,2,1,1,1,0.99,18.220000000000002,1.523679756379272
random,random,random,include_walls,2,1,1,1,0.5,18.22,1.523679756379272
random,random,random,include_walls,2,1,1,1,0.7,18.22,1.523679756379272
random,random,random,include_walls,2,1,1,1,0.9,18.22,1.523679756379272
random,random,random,include_walls,2,0,2,1,0.7,15.080000000000002,2.859650328274421
random,random,avoid_walls,False,2,0,2,1,0.9,14.520000000000001,1.4945233353815517
random,random,avoid_walls,include_walls,2,0,2,1,0.5,14.3,0.9380831519646857
random,random,random,False,2,0,2,1,0.5,14.260000000000002,1.419295599936814
random,random,random,include_walls,2,0,2,1,0.9,14.2,1.5760710643876443
random,random,avoid_walls,False,2,0,2,1,0.5,13.679999999999998,2.019306811754965
random,random,avoid_walls,exclude_walls,2,0,2,1,0.9,13.540000000000001,1.9703806738800502
random,random,avoid_walls,include_walls,2,0,2,1,0.7,13.420000000000002,2.376047137579555
random,random,avoid_walls,include_walls,2,0,2,1,0.9,13.3,0.8099382692526637
random,random,avoid_walls,exclude_walls,2,0,2,1,0.7,13.14,2.932302849297801
random,random,avoid_walls,False,2,0,2,1,0.7,13.12,0.7547184905645282
random,random,avoid_walls,exclude_walls,2,0,2,1,0.5,13.080000000000002,2.6324133414036637
random,random,avoid_walls,False,2,2,0,1,1.0,13.040000000000001,1.0762899237658967
random,random,random,False,2,0,2,1,0.7,12.959999999999999,0.5238320341483522
random,random,random,exclude_walls,2,0,2,1,0.7,12.919999999999998,1.9923855048659638
random,random,random,include_walls,2,0,2,1,0.5,12.66,0.8138795979750318
random,random,random,False,2,2,0,1,1.0,12.5,0.9077444574328176
random,random,random,False,2,0,2,1,0.9,12.48,1.3876599006961323
random,random,avoid_walls,include_walls,2,0,2,1,0.99,12.459999999999999,1.3836184445142379
random,random,random,exclude_walls,2,0,2,1,0.99,12.42,2.384449622030208
random,random,random,exclude_walls,2,0,2,1,0.5,11.98,1.0457533169921098
random,random,random,exclude_walls,2,0,2,1,0.9,11.92,1.7197674261364528
random,random,avoid_walls,exclude_walls,2,0,2,1,0.99,11.9,1.7492855684535904
random,random,random,include_walls,2,0,2,1,0.99,11.74,2.184124538573751
random,random,random,False,2,0,2,1,0.99,10.919999999999998,2.6678830559078106
random,random,avoid_walls,False,2,0,2,1,0.99,10.82,0.8084553172563095
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.9,88.0,8.962365759106245
semantic,semantic,avoid_walls,False,6,0,6,1,0.9,86.35999999999999,12.082814241723655
semantic,semantic,avoid_walls,False,6,0,6,1,0.7,85.82000000000001,7.2328141134692485
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.5,85.7,5.052919947911305
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.7,84.96000000000001,9.95381333962015
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.7,83.88,4.97127750180977
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.9,81.0,10.930141810607948
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.5,80.8,5.192301994298864
semantic,semantic,avoid_walls,False,6,0,6,1,0.5,78.16,6.382664020610831
semantic,semantic,avoid_walls,False,6,0,6,1,0.99,77.82000000000001,7.202888309560273
semantic,semantic,random,False,6,0,6,1,0.7,77.22,6.136904757286036
semantic,semantic,random,exclude_walls,6,0,6,1,0.7,76.38,7.062124326291629
semantic,semantic,random,exclude_walls,6,0,6,1,0.9,75.86,8.827819662861268
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.99,74.42,20.20350464647161
semantic,semantic,random,include_walls,6,0,6,1,0.7,73.94,2.060679499582603
semantic,semantic,random,include_walls,6,0,6,1,0.9,73.47999999999999,4.54770271675711
