mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,74.04,5.792961246202154
semantic,semantic,random,False,2,0,2,1,0.7,69.84,17.390411150976277
semantic,semantic,random,include_walls,2,0,2,1,0.5,68.47999999999999,11.145653861483408
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,68.3,9.451560717680442
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,67.22,12.84591763946819
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,66.62,10.572303438702466
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,66.38000000000001,13.49746642892658
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,66.38,13.49746642892658
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,66.38,13.497466428926582
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,66.38,13.497466428926582
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,66.12,7.334957395922626
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,66.12,7.3349573959226255
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,66.11999999999999,7.3349573959226255
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,66.11999999999999,7.3349573959226255
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,65.88,13.110209761861174
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,64.2,11.824889005821575
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,64.0,14.603972062421919
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,63.56,12.505774666129243
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,63.32000000000001,16.036134197492864
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,62.720000000000006,14.495985651207027
episodic,episodic,random,False,2,2,0,1,1.0,62.7,6.28267458969506
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,62.17999999999999,8.288160230111387
semantic,semantic,random,False,2,0,2,1,0.5,61.74000000000001,7.856105905599797
semantic,semantic,random,include_walls,2,0,2,1,0.9,59.88000000000001,11.355245483916233
semantic,semantic,random,include_walls,2,0,2,1,0.7,59.239999999999995,11.306210682629262
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,57.4,13.009534964786404
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,57.4,13.009534964786404
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,57.4,13.009534964786404
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,57.4,13.009534964786404
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,55.620000000000005,14.628656807786557
semantic,semantic,random,False,2,0,2,1,0.9,55.260000000000005,4.805663325702291
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,54.620000000000005,8.830266134154735
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,52.44,6.104621200369439
semantic,semantic,random,include_walls,2,0,2,1,0.99,51.16,13.596852576975307
