mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,286.76,16.085347369578304
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,280.78,5.030069582023684
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,276.78000000000003,30.63601801801272
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,273.76,16.288474452814796
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,271.24000000000007,11.649652355328024
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,269.98,4.137342142003727
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,268.91999999999996,13.228061082411129
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,268.1,11.066164647247934
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,267.76,3.1013545427764373
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,267.50000000000006,2.471436829053082
semantic,semantic,random,False,2,0,2,1,0.9,267.34000000000003,12.446622031700013
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,267.17999999999995,15.31631809541705
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,266.04,5.273556674579309
semantic,semantic,random,False,2,0,2,1,0.99,262.7,16.382917933017914
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,261.44,9.754711682053962
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,260.48,11.792438255085333
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,260.28000000000003,14.283332944379618
semantic,semantic,random,False,2,0,2,1,0.7,260.15999999999997,7.2029438426243395
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,258.15999999999997,6.303840099494913
semantic,semantic,random,include_walls,2,0,2,1,0.9,256.72,8.739199047967734
semantic,semantic,random,include_walls,2,0,2,1,0.7,255.01999999999998,5.597999642729546
semantic,semantic,random,include_walls,2,0,2,1,0.5,253.54000000000002,6.7636085043414536
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,252.26000000000005,8.396094330103738
episodic,episodic,random,False,2,2,0,1,1.0,251.98000000000002,10.055724737680517
semantic,semantic,random,False,2,0,2,1,0.5,249.58,2.5293477420078063
semantic,semantic,random,include_walls,2,0,2,1,0.99,242.88000000000002,4.48258853788746
random,episodic_semantic,random,include_walls,2,1,1,1,0.5,183.38,12.073011223385823
random,episodic_semantic,random,include_walls,2,1,1,1,0.7,183.38,12.073011223385823
random,episodic_semantic,random,include_walls,2,1,1,1,0.9,183.38,12.073011223385821
random,episodic_semantic,random,include_walls,2,1,1,1,0.99,183.38,12.073011223385823
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,181.36,11.15447892104333
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,181.35999999999999,11.15447892104333
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,181.35999999999999,11.15447892104333
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,181.35999999999999,11.15447892104333
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.5,178.96,7.324370280099172
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.9,178.96,7.3243702800991715
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.7,178.95999999999998,7.3243702800991715
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.99,178.95999999999998,7.3243702800991715
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,178.20000000000002,5.71769184199358
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,178.2,5.71769184199358
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,178.2,5.71769184199358
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,178.2,5.71769184199358
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,176.88000000000002,4.120388331213453
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,176.88000000000002,4.120388331213453
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,176.88,4.120388331213453
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,176.88,4.120388331213453
random,episodic_semantic,random,False,2,1,1,1,0.99,176.36000000000004,2.8189359694750116
random,episodic_semantic,random,False,2,1,1,1,0.7,176.36,2.8189359694750116
random,episodic_semantic,random,False,2,1,1,1,0.9,176.36,2.8189359694750116
random,episodic_semantic,random,False,2,1,1,1,0.5,176.35999999999999,2.8189359694750116
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.99,151.16,27.57670031022566
random,episodic_semantic,random,False,2,0,2,1,0.9,136.45999999999998,18.885189964625724
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.9,129.32,12.73411166905646
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.9,128.4,10.169169090933634
random,episodic_semantic,random,False,2,0,2,1,0.5,127.0,3.813135192987527
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.5,122.92,6.5242317555402645
random,episodic_semantic,random,include_walls,2,0,2,1,0.7,122.88000000000002,5.028876614115724
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.7,122.12,8.798499872137297
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.9,121.74000000000001,7.743539242491125
random,episodic_semantic,random,False,2,0,2,1,0.99,121.17999999999999,22.090305566016966
random,episodic_semantic,random,include_walls,2,0,2,1,0.5,121.12,10.764274243998063
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,120.24000000000001,9.783169220656465
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,119.61999999999998,12.251432569295723
random,episodic_semantic,random,False,2,0,2,1,0.7,119.32000000000001,10.489308842817051
random,episodic_semantic,random,include_walls,2,0,2,1,0.9,118.58,18.99804200437508
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.7,118.54,3.610318545502597
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.99,117.35999999999999,17.068989425270612
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.7,116.83999999999999,4.896774448552838
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.5,115.74000000000001,9.549575906813875
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,113.26000000000002,8.96495398761198
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.5,111.72,6.199161233586365
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.99,111.36000000000001,22.284218631129967
random,episodic_semantic,random,include_walls,2,0,2,1,0.99,111.13999999999999,29.883815017497348
random,episodic_semantic,random,False,2,2,0,1,1.0,107.12,6.027072257738411
random,episodic_semantic,avoid_walls,False,2,2,0,1,1.0,105.62,6.2027090855528595
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,98.14000000000001,14.191349477762852
random,random,random,False,2,1,1,1,0.5,96.06000000000002,5.32676261907737
random,random,random,False,2,1,1,1,0.7,96.05999999999999,5.32676261907737
random,random,random,False,2,1,1,1,0.9,96.05999999999999,5.32676261907737
random,random,random,False,2,1,1,1,0.99,96.05999999999999,5.32676261907737
random,random,avoid_walls,include_walls,2,1,1,1,0.5,94.47999999999999,4.090183369972549
random,random,avoid_walls,include_walls,2,1,1,1,0.7,94.47999999999999,4.090183369972549
random,random,avoid_walls,include_walls,2,1,1,1,0.9,94.47999999999999,4.090183369972549
random,random,avoid_walls,include_walls,2,1,1,1,0.99,94.47999999999999,4.090183369972549
random,random,avoid_walls,exclude_walls,2,1,1,1,0.5,94.24000000000001,2.4824181758922075
random,random,avoid_walls,exclude_walls,2,1,1,1,0.9,94.24000000000001,2.4824181758922075
random,random,avoid_walls,exclude_walls,2,1,1,1,0.99,94.24000000000001,2.4824181758922075
random,random,avoid_walls,exclude_walls,2,1,1,1,0.7,94.23999999999998,2.4824181758922075
random,random,random,include_walls,2,1,1,1,0.5,93.12,4.332389640833336
random,random,random,include_walls,2,1,1,1,0.7,93.12,4.332389640833336
