mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,30.52,1.9538679586911705
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,29.380000000000003,2.132979137263184
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,29.18,3.8405207980168528
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,28.82,2.4094812719753596
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,28.8,1.3023056476879762
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,28.7,1.93597520645281
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,28.580000000000002,1.4998666607402138
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,28.32,3.822773862001256
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,27.140000000000004,4.716184898835073
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,26.54,1.397998569384104
semantic,semantic,random,False,2,0,2,1,0.9,26.3,3.7613827244777958
semantic,semantic,random,include_walls,2,0,2,1,0.7,26.22,1.6892601931022937
semantic,semantic,random,False,2,0,2,1,0.5,26.1,3.3876245364561877
semantic,semantic,random,include_walls,2,0,2,1,0.5,26.060000000000002,2.695626086830293
episodic,episodic,random,False,2,2,0,1,1.0,25.419999999999998,1.4958609561052123
semantic,semantic,random,False,2,0,2,1,0.99,24.98,3.5924364990908333
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,24.98,1.6702095676890365
semantic,semantic,random,False,2,0,2,1,0.7,24.560000000000002,1.6206171663906321
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,24.48,2.0721003836687064
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,24.32,0.7858753081755404
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,23.14,2.0538743875904384
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,23.080000000000002,1.581644713581404
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,23.060000000000002,1.4093970341958295
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,23.06,1.4093970341958295
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,23.06,1.4093970341958295
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,23.06,1.4093970341958295
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,22.300000000000004,1.805547008526779
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,22.3,1.805547008526779
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,22.3,1.805547008526779
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,22.3,1.805547008526779
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,22.140000000000004,1.8347751905887537
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,21.7,2.455198566307825
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,21.7,2.455198566307825
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,21.7,2.455198566307825
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,21.7,2.455198566307825
semantic,semantic,random,include_walls,2,0,2,1,0.9,21.34,1.9561186058110078
random,episodic_semantic,random,False,2,1,1,1,0.5,20.220000000000002,1.5778466338652815
random,episodic_semantic,random,False,2,1,1,1,0.7,20.220000000000002,1.5778466338652815
random,episodic_semantic,random,False,2,1,1,1,0.9,20.220000000000002,1.5778466338652815
random,episodic_semantic,random,False,2,1,1,1,0.99,20.220000000000002,1.5778466338652815
semantic,semantic,random,include_walls,2,0,2,1,0.99,19.54,1.7373543104387197
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,19.16,1.440277750991107
random,episodic_semantic,random,include_walls,2,1,1,1,0.5,18.96,1.3979985693841026
random,episodic_semantic,random,include_walls,2,1,1,1,0.7,18.96,1.3979985693841026
random,episodic_semantic,random,include_walls,2,1,1,1,0.9,18.96,1.3979985693841026
