mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,404.78000000000003,14.549419232395497
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,395.03999999999996,13.993798626534547
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,386.88,7.189547969100693
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,384.7,7.304245340895927
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,372.82000000000005,7.487162346309843
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,365.58000000000004,15.090579843067667
semantic,semantic,random,False,2,0,2,1,0.5,357.59999999999997,9.844186101450946
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,356.79999999999995,7.577070674079797
semantic,semantic,random,include_walls,2,0,2,1,0.5,355.96000000000004,14.011937767489552
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,351.38,19.814378617559505
episodic,episodic,random,False,2,2,0,1,1.0,350.62,19.147051992408656
semantic,semantic,random,include_walls,2,0,2,1,0.7,335.84000000000003,17.315957957906924
semantic,semantic,random,False,2,0,2,1,0.7,335.78000000000003,21.056153494881258
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,329.84,6.99245307456546
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,317.49999999999994,19.269769069711238
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,312.74000000000007,14.712797150779997
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,312.74,14.712797150779995
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,312.74,14.712797150779997
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,312.74,14.712797150779997
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,311.8,23.756851643262845
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,310.6,9.577682391894193
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,310.6,9.577682391894193
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,310.6,9.577682391894193
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,310.6,9.577682391894193
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,309.22,5.89827093307861
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,309.22,5.89827093307861
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,309.21999999999997,5.89827093307861
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,309.21999999999997,5.89827093307861
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,306.41999999999996,12.650913010530102
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,297.86,12.286024580799117
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,291.74,26.339521635747307
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,291.26,17.868922743131435
random,episodic_semantic,random,False,2,1,1,1,0.5,289.9,10.873453913085754
random,episodic_semantic,random,False,2,1,1,1,0.7,289.9,10.873453913085754
random,episodic_semantic,random,False,2,1,1,1,0.9,289.9,10.873453913085754
random,episodic_semantic,random,False,2,1,1,1,0.99,289.9,10.873453913085754
random,episodic_semantic,random,include_walls,2,1,1,1,0.5,289.40000000000003,7.655324944115701
random,episodic_semantic,random,include_walls,2,1,1,1,0.7,289.4,7.6553249441157005
random,episodic_semantic,random,include_walls,2,1,1,1,0.9,289.4,7.655324944115701
random,episodic_semantic,random,include_walls,2,1,1,1,0.99,289.4,7.655324944115701
semantic,semantic,random,False,2,0,2,1,0.99,281.84000000000003,8.407282557402242
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.5,281.71999999999997,4.121844247421298
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.7,281.71999999999997,4.121844247421299
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.9,281.71999999999997,4.121844247421298
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.99,281.71999999999997,4.121844247421299
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,280.86,13.14847519676712
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,278.86,3.9937951875377866
semantic,semantic,random,False,2,0,2,1,0.9,264.9,11.728256477413858
semantic,semantic,random,include_walls,2,0,2,1,0.9,258.88,12.96432026756513
semantic,semantic,random,include_walls,2,0,2,1,0.99,254.98000000000002,5.578315157823192
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.7,217.63999999999996,13.35643665054418
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.5,211.61999999999998,6.497815017373149
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,208.66,4.064283454681769
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.5,207.92,6.280891656444964
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.7,206.84,10.792145291831465
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,202.6,9.073698253744173
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.9,202.23999999999998,10.183044731316857
random,episodic_semantic,random,include_walls,2,0,2,1,0.5,201.40000000000003,12.339367893048648
random,episodic_semantic,random,include_walls,2,0,2,1,0.7,199.06,8.697493891920825
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.9,198.9,9.355212450821206
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.5,198.53999999999996,6.156817359642885
random,episodic_semantic,random,False,2,0,2,1,0.9,197.23999999999998,15.245405865374659
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,195.02000000000004,11.941088727582594
random,episodic_semantic,random,False,2,0,2,1,0.7,194.26,7.821662227429669
random,episodic_semantic,random,False,2,0,2,1,0.5,193.35999999999999,8.728940370972866
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.9,191.38,9.88522129241425
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.7,190.14000000000001,8.14385658026957
random,episodic_semantic,random,include_walls,2,0,2,1,0.9,186.3,12.923621783385652
random,episodic_semantic,avoid_walls,False,2,2,0,1,1.0,180.5,15.415836013658168
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.99,180.49999999999997,10.148103271055144
random,episodic_semantic,random,False,2,2,0,1,1.0,177.35999999999999,10.81362104015117
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,174.74,34.45684837590345
random,episodic_semantic,random,False,2,0,2,1,0.99,169.94,32.3521003954921
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.99,168.99999999999997,11.889659372749081
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.99,164.64,31.116465094865767
random,random,avoid_walls,include_walls,2,1,1,1,0.5,163.22,6.0601650142549826
random,random,avoid_walls,include_walls,2,1,1,1,0.7,163.22,6.0601650142549826
random,random,avoid_walls,include_walls,2,1,1,1,0.99,163.22,6.0601650142549826
random,random,avoid_walls,include_walls,2,1,1,1,0.9,163.21999999999997,6.060165014254983
random,random,avoid_walls,exclude_walls,2,1,1,1,0.5,161.48000000000002,4.289708614812903
random,random,avoid_walls,exclude_walls,2,1,1,1,0.9,161.48000000000002,4.289708614812903
random,random,avoid_walls,exclude_walls,2,1,1,1,0.99,161.48000000000002,4.289708614812903
random,random,avoid_walls,exclude_walls,2,1,1,1,0.7,161.47999999999996,4.289708614812903
random,random,avoid_walls,False,2,1,1,1,0.7,159.86,4.425652494265673
random,random,avoid_walls,False,2,1,1,1,0.5,159.85999999999999,4.425652494265672
random,random,avoid_walls,False,2,1,1,1,0.9,159.85999999999999,4.425652494265672
random,random,avoid_walls,False,2,1,1,1,0.99,159.85999999999999,4.425652494265672
random,episodic_semantic,random,include_walls,2,0,2,1,0.99,154.48000000000002,13.165621899477436
random,random,random,False,2,1,1,1,0.5,144.44,2.95743131788381
random,random,random,False,2,1,1,1,0.7,144.44,2.95743131788381
random,random,random,False,2,1,1,1,0.9,144.44,2.95743131788381
random,random,random,False,2,1,1,1,0.99,144.44,2.95743131788381
random,random,random,exclude_walls,2,1,1,1,0.5,142.3,3.8652296180175347
random,random,random,exclude_walls,2,1,1,1,0.7,142.3,3.8652296180175347
random,random,random,exclude_walls,2,1,1,1,0.9,142.3,3.8652296180175343
random,random,random,exclude_walls,2,1,1,1,0.99,142.3,3.8652296180175347
random,random,random,include_walls,2,1,1,1,0.99,139.12000000000003,5.139416309270921
random,random,random,include_walls,2,1,1,1,0.5,139.12,5.139416309270921
random,random,random,include_walls,2,1,1,1,0.7,139.11999999999998,5.139416309270921
random,random,random,include_walls,2,1,1,1,0.9,139.11999999999998,5.139416309270921
random,random,avoid_walls,exclude_walls,2,0,2,1,0.7,106.8,4.497554891271482
random,random,avoid_walls,False,2,0,2,1,0.5,105.4,8.111473355685762
random,random,avoid_walls,False,2,0,2,1,0.7,104.42,4.664504260904906
random,random,avoid_walls,include_walls,2,0,2,1,0.7,102.02,4.893832853704754
random,random,random,include_walls,2,0,2,1,0.5,101.73999999999998,2.1181123671798
random,random,random,include_walls,2,0,2,1,0.7,101.53999999999999,4.642240838215958
random,random,avoid_walls,include_walls,2,0,2,1,0.5,100.63999999999999,6.555486251987721
random,random,avoid_walls,exclude_walls,2,0,2,1,0.5,99.58000000000001,7.606681273722461
random,random,avoid_walls,include_walls,2,0,2,1,0.9,98.58,11.147806959218478
random,random,random,exclude_walls,2,0,2,1,0.5,97.7,3.897178466531906
random,random,random,False,2,0,2,1,0.5,96.29999999999998,5.1923019942988695
random,random,avoid_walls,False,2,0,2,1,0.9,96.1,9.050966799187808
random,random,random,exclude_walls,2,0,2,1,0.9,95.3,8.494233337977008
random,random,random,False,2,0,2,1,0.7,94.56,2.1527656630483527
random,random,random,exclude_walls,2,0,2,1,0.7,94.46000000000001,6.028134039651075
random,random,avoid_walls,exclude_walls,2,0,2,1,0.9,92.92,9.190516851624828
random,random,avoid_walls,False,2,2,0,1,1.0,92.88000000000001,4.7381008853759115
random,random,avoid_walls,exclude_walls,2,0,2,1,0.99,92.3,12.939242636259666
random,random,random,False,2,0,2,1,0.9,91.66,5.990859704583308
random,random,random,exclude_walls,2,0,2,1,0.99,90.52000000000001,12.932656339669746
random,random,random,include_walls,2,0,2,1,0.9,89.12,6.511958230824277
random,random,random,False,2,2,0,1,1.0,87.85999999999999,2.733203248937042
random,random,avoid_walls,False,2,0,2,1,0.99,87.72,11.750302123775374
random,random,avoid_walls,include_walls,2,0,2,1,0.99,84.76000000000002,7.114660919537906
random,random,random,False,2,0,2,1,0.99,82.96,10.632328061153869
random,random,random,include_walls,2,0,2,1,0.99,82.55999999999999,12.801343679473652
semantic,semantic,avoid_walls,False,6,0,6,1,0.7,637.28,20.100089552039336
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.7,633.12,9.531295819562011
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.7,619.1,8.783393421679339
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.5,604.36,7.776785968509085
semantic,semantic,avoid_walls,False,6,0,6,1,0.5,603.4199999999998,5.364475743257674
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.5,600.4799999999999,7.965274634311098
semantic,semantic,avoid_walls,False,6,0,6,1,0.9,545.04,30.978353732889058
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.9,535.74,46.339123858786984
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.9,526.0600000000001,30.967763884400835
episodic,episodic,avoid_walls,False,6,6,0,1,1.0,520.38,6.627337323541014
semantic,semantic,avoid_walls,False,6,0,6,1,0.99,511.76000000000005,49.85822299280232
semantic,semantic,random,include_walls,6,0,6,1,0.7,510.78000000000003,18.81397353033112
semantic,semantic,random,exclude_walls,6,0,6,1,0.7,496.8,20.012695970308446
semantic,semantic,random,False,6,0,6,1,0.7,492.1,22.881258706635876
semantic,semantic,random,include_walls,6,0,6,1,0.5,489.82,14.540068775628265
random,episodic_semantic,avoid_walls,False,6,3,3,1,0.5,488.58000000000004,12.721540787184544
semantic,semantic,random,False,6,0,6,1,0.5,488.3,17.441559563295932
semantic,semantic,random,exclude_walls,6,0,6,1,0.5,481.12000000000006,15.950724121493671
random,episodic_semantic,avoid_walls,False,6,3,3,1,0.7,480.16,12.32730303026578
random,episodic_semantic,avoid_walls,exclude_walls,6,3,3,1,0.5,478.1,4.8062459362791685
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,0.5,477.62,5.945552959986146
random,episodic_semantic,avoid_walls,False,6,3,3,1,0.9,472.4799999999999,7.754069899091703
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,0.9,470.26000000000005,15.836236926744936
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,0.7,469.9,11.91100331626182
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.99,469.5799999999999,45.88103747737185
random,episodic_semantic,avoid_walls,exclude_walls,6,3,3,1,0.9,463.86,11.885217709406923
episodic,episodic,random,False,6,6,0,1,1.0,459.17999999999995,8.246065728576262
random,episodic_semantic,avoid_walls,exclude_walls,6,3,3,1,0.7,459.1,3.63593179253957
random,episodic_semantic,avoid_walls,exclude_walls,6,3,3,1,0.99,451.38,24.564234162700863
random,episodic_semantic,avoid_walls,False,6,3,3,1,0.99,444.05999999999995,32.061291302753226
random,episodic_semantic,avoid_walls,include_walls,6,0,6,1,0.9,442.23999999999995,34.05364004038335
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,0.99,441.15999999999997,12.64873116166202
random,episodic_semantic,avoid_walls,exclude_walls,6,0,6,1,0.9,440.28000000000003,11.939078691423395
random,episodic_semantic,avoid_walls,False,6,0,6,1,0.9,439.16,18.393651078565124
random,episodic_semantic,avoid_walls,include_walls,6,0,6,1,0.7,436.82,22.63602438592078
