mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,13.940000000000001,0.8039900496896712
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,13.080000000000002,1.6228370220080635
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,12.540000000000001,1.301691207621838
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,12.36,0.7172168430816445
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,12.22,1.9711925324533874
semantic,semantic,random,False,2,0,2,1,0.99,12.08,1.0814804667676619
semantic,semantic,random,False,2,0,2,1,0.5,12.0,1.69941166289984
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,11.98,0.9516301802696255
episodic,episodic,random,False,2,2,0,1,1.0,11.64,1.3749181793837773
semantic,semantic,random,include_walls,2,0,2,1,0.7,11.26,0.9308061022576076
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,11.2,0.7668115805072324
semantic,semantic,random,False,2,0,2,1,0.9,11.120000000000001,0.6493073232299171
semantic,semantic,random,False,2,0,2,1,0.7,11.02,1.5223665787188052
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,10.98,2.18577217477028
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,10.9,1.1063453348751464
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,10.559999999999999,0.7787168933572717
semantic,semantic,random,include_walls,2,0,2,1,0.5,10.48,1.7474552927042228
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,10.36,2.2808770243044667
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,10.319999999999999,0.6910861017268397
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,9.719999999999999,1.3731715115017495
semantic,semantic,random,include_walls,2,0,2,1,0.9,9.639999999999999,1.087382177525455
semantic,semantic,random,include_walls,2,0,2,1,0.99,9.620000000000001,1.0533755265810953
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,9.540000000000001,1.752255689104761
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,9.540000000000001,1.7522556891047605
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,9.540000000000001,1.7522556891047607
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,9.54,1.752255689104761
random,episodic_semantic,random,False,2,1,1,1,0.5,9.48,0.8681013765684285
random,episodic_semantic,random,False,2,1,1,1,0.7,9.48,0.8681013765684285
random,episodic_semantic,random,False,2,1,1,1,0.9,9.48,0.8681013765684285
random,episodic_semantic,random,False,2,1,1,1,0.99,9.48,0.8681013765684283
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,9.46,1.6304600577751052
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,9.46,1.6304600577751052
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,9.459999999999999,1.6304600577751052
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,9.459999999999999,1.6304600577751052
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,9.3,0.7974960814950754
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,9.3,1.7663521732655694
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,8.96,1.310877568653915
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,8.96,1.3108775686539151
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,8.959999999999999,1.3108775686539151
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,8.959999999999999,1.3108775686539151
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,8.940000000000001,1.72
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,8.9,1.1009087155618305
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.5,8.72,0.42142615011410944
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.99,8.72,0.42142615011410944
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.7,8.719999999999999,0.42142615011410944
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.9,8.719999999999999,0.42142615011410944
random,episodic_semantic,random,include_walls,2,1,1,1,0.5,8.02,1.5917286200857232
random,episodic_semantic,random,include_walls,2,1,1,1,0.7,8.02,1.5917286200857232
random,episodic_semantic,random,include_walls,2,1,1,1,0.9,8.02,1.5917286200857232
random,episodic_semantic,random,include_walls,2,1,1,1,0.99,8.02,1.5917286200857232
random,episodic_semantic,random,include_walls,2,0,2,1,0.5,7.159999999999999,1.1001818031580053
