mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,1000.0,0.0
episodic,episodic,random,False,2,2,0,1,1.0,1000.0,0.0
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,1000.0,0.0
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,1000.0,0.0
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,1000.0,0.0
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,1000.0,0.0
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,1000.0,0.0
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,1000.0,0.0
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,1000.0,0.0
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,1000.0,0.0
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,1000.0,0.0
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,1000.0,0.0
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,1000.0,0.0
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,1000.0,0.0
semantic,semantic,random,False,2,0,2,1,0.5,1000.0,0.0
semantic,semantic,random,False,2,0,2,1,0.7,1000.0,0.0
semantic,semantic,random,False,2,0,2,1,0.9,1000.0,0.0
semantic,semantic,random,False,2,0,2,1,0.99,1000.0,0.0
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,1000.0,0.0
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,1000.0,0.0
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,1000.0,0.0
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,1000.0,0.0
semantic,semantic,random,include_walls,2,0,2,1,0.5,1000.0,0.0
semantic,semantic,random,include_walls,2,0,2,1,0.7,1000.0,0.0
semantic,semantic,random,include_walls,2,0,2,1,0.9,1000.0,0.0
semantic,semantic,random,include_walls,2,0,2,1,0.99,1000.0,0.0
random,episodic_semantic,random,False,2,1,1,1,0.5,710.0,16.73320053068151
random,episodic_semantic,random,False,2,1,1,1,0.7,710.0,16.73320053068151
random,episodic_semantic,random,False,2,1,1,1,0.9,710.0,16.73320053068151
random,episodic_semantic,random,False,2,1,1,1,0.99,710.0,16.73320053068151
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.5,710.0,16.73320053068151
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.7,710.0,16.73320053068151
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.9,710.0,16.73320053068151
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.99,710.0,16.73320053068151
random,episodic_semantic,random,include_walls,2,1,1,1,0.5,707.6,12.784365451597509
random,episodic_semantic,random,include_walls,2,1,1,1,0.7,707.6,12.784365451597509
random,episodic_semantic,random,include_walls,2,1,1,1,0.9,707.6,12.784365451597509
random,episodic_semantic,random,include_walls,2,1,1,1,0.99,707.6,12.784365451597509
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,705.4,20.431348462595416
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,705.4,20.431348462595416
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,705.4,20.431348462595416
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,705.4,20.431348462595416
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,705.4,20.431348462595412
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,705.4,20.431348462595416
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,705.4,20.431348462595416
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,705.4,20.431348462595412
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,699.2,24.4409492450682
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,699.2,24.4409492450682
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,699.2,24.440949245068204
