mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,66.22,8.986300684931482
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,63.94,6.138924987324736
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,62.36,5.040476167982543
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,61.739999999999995,6.844150787351197
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,60.36,7.131787994605562
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,60.04,5.080000000000001
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,59.68000000000001,4.869661179178691
episodic,episodic,random,False,2,2,0,1,1.0,59.46,5.869446311194951
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,58.32000000000001,5.7724864659867325
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,58.0,4.568150610476849
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,56.8,6.404061211450123
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,56.7,4.943278264471867
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,56.279999999999994,7.741162703366979
semantic,semantic,random,include_walls,2,0,2,1,0.5,55.379999999999995,2.2981731875557143
semantic,semantic,random,False,2,0,2,1,0.7,54.98,3.380769143257196
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,54.580000000000005,2.4709512338368795
semantic,semantic,random,False,2,0,2,1,0.9,54.5,10.203528801351032
semantic,semantic,random,include_walls,2,0,2,1,0.9,54.09999999999999,2.0307634032550426
semantic,semantic,random,include_walls,2,0,2,1,0.7,54.0,1.7787636155487334
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,53.220000000000006,5.36596682807488
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,52.92,8.118472762779954
semantic,semantic,random,False,2,0,2,1,0.5,51.31999999999999,6.87877896141459
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,49.04,7.683124364475692
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,47.3,8.071431099873182
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,46.06,4.824769424542482
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,46.059999999999995,4.824769424542482
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,46.059999999999995,4.824769424542482
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,46.059999999999995,4.824769424542481
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,45.44,5.017409690268476
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,45.44,5.017409690268476
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,45.44,5.017409690268476
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,45.44,5.017409690268476
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,45.38,2.1903424389807182
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,45.38,2.1903424389807187
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,45.379999999999995,2.1903424389807187
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,45.379999999999995,2.1903424389807187
semantic,semantic,random,False,2,0,2,1,0.99,44.46,5.439338195038069
semantic,semantic,random,include_walls,2,0,2,1,0.99,44.160000000000004,6.100688485736671
random,episodic_semantic,random,include_walls,2,1,1,1,0.5,41.7,4.848504924200861
random,episodic_semantic,random,include_walls,2,1,1,1,0.7,41.7,4.848504924200861
random,episodic_semantic,random,include_walls,2,1,1,1,0.9,41.7,4.848504924200861
random,episodic_semantic,random,include_walls,2,1,1,1,0.99,41.7,4.848504924200861
random,episodic_semantic,random,False,2,1,1,1,0.5,39.7,2.4730547911439396
random,episodic_semantic,random,False,2,1,1,1,0.7,39.7,2.47305479114394
random,episodic_semantic,random,False,2,1,1,1,0.9,39.7,2.47305479114394
random,episodic_semantic,random,False,2,1,1,1,0.99,39.7,2.4730547911439396
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.5,39.54,5.241602808302056
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.7,39.54,5.241602808302056
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.9,39.54,5.241602808302056
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.99,39.54,5.241602808302056
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.99,34.48,7.736769351609236
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,31.940000000000005,5.730828910375881
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,31.639999999999997,2.816096589252577
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.7,31.120000000000005,3.287795614085523
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.9,30.76,5.3894712171047
random,episodic_semantic,random,False,2,0,2,1,0.9,30.5,1.8406520583749668
