mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,81.6,17.940902987308082
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,77.78,8.681336302666775
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,75.9,14.370525390534613
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,73.2,5.5949977658619305
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,72.66000000000001,8.16666394557778
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,71.84,15.757487109307753
semantic,semantic,random,include_walls,2,0,2,1,0.5,69.9,5.647300239937663
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,69.7,14.822280526288795
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,68.28,6.17329733610815
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,68.28,6.17329733610815
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,68.28,6.17329733610815
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,68.28,6.17329733610815
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,67.32000000000001,14.614841771295373
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,67.32000000000001,14.614841771295373
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,67.32000000000001,14.614841771295373
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,67.32000000000001,14.614841771295373
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,66.3,16.10726544140873
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,65.72,13.682309746530372
episodic,episodic,random,False,2,2,0,1,1.0,65.66,7.190716236926612
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,64.34,14.532391406785052
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,62.46,12.120165015378296
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,61.14,8.601767260278551
semantic,semantic,random,False,2,0,2,1,0.7,60.96,7.709370921158223
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,58.480000000000004,13.407072760300812
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,58.480000000000004,13.407072760300812
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,58.480000000000004,13.407072760300812
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,58.48,13.407072760300812
semantic,semantic,random,include_walls,2,0,2,1,0.7,58.46,7.48614720667447
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,57.94,11.750846777998596
semantic,semantic,random,False,2,0,2,1,0.5,57.48,11.900319323446745
semantic,semantic,random,False,2,0,2,1,0.99,55.760000000000005,4.955239651116784
semantic,semantic,random,include_walls,2,0,2,1,0.99,54.98,12.876552333602344
semantic,semantic,random,include_walls,2,0,2,1,0.9,54.8,18.238530642570968
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,54.1,4.718474329695987
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,53.92,8.466971123134885
semantic,semantic,random,False,2,0,2,1,0.9,52.46,10.891574725447189
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,50.980000000000004,5.096430123135212
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,50.040000000000006,4.247634635888542
random,episodic_semantic,random,include_walls,2,1,1,1,0.7,46.28000000000001,6.444036002382359
random,episodic_semantic,random,include_walls,2,1,1,1,0.99,46.28000000000001,6.444036002382359
random,episodic_semantic,random,include_walls,2,1,1,1,0.9,46.28,6.444036002382358
random,episodic_semantic,random,include_walls,2,1,1,1,0.5,46.279999999999994,6.444036002382358
random,episodic_semantic,random,False,2,1,1,1,0.5,45.2,3.6872754168898196
random,episodic_semantic,random,False,2,1,1,1,0.7,45.2,3.6872754168898196
random,episodic_semantic,random,False,2,1,1,1,0.9,45.2,3.6872754168898196
random,episodic_semantic,random,False,2,1,1,1,0.99,45.2,3.6872754168898196
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.5,45.06,9.333080948968565
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.7,45.06,9.333080948968567
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.9,45.06,9.333080948968567
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.99,45.06,9.333080948968567
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.5,44.440000000000005,5.691607857187633
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,43.54,8.24441629225502
random,episodic_semantic,random,False,2,0,2,1,0.9,43.46,4.56315680203957
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.5,43.44,7.918737273075803
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.5,41.980000000000004,4.974896983858058
random,episodic_semantic,random,include_walls,2,0,2,1,0.5,41.5,5.7865360968372075
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.7,39.9,7.1226399600148245
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.7,39.760000000000005,5.417231765394574
random,episodic_semantic,random,False,2,0,2,1,0.5,39.760000000000005,5.6393616660044055
random,episodic_semantic,avoid_walls,False,2,2,0,1,1.0,39.620000000000005,5.17122809398309
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.9,39.519999999999996,10.432334350470178
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.7,39.2,6.304601494146954
random,episodic_semantic,random,False,2,0,2,1,0.7,38.94,11.123236938949022
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,37.06,3.3968220442054364
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.9,36.980000000000004,6.2191317722010035
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.9,35.2,6.894345509183595
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.99,35.160000000000004,7.05197844579803
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.99,34.96,4.353665122629438
random,episodic_semantic,random,include_walls,2,0,2,1,0.7,34.480000000000004,6.599515133704899
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,33.160000000000004,3.709770882413091
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.99,33.160000000000004,5.912562896071383
random,random,avoid_walls,include_walls,2,1,1,1,0.5,32.62,8.35832519108942
random,random,avoid_walls,include_walls,2,1,1,1,0.7,32.62,8.358325191089419
random,random,avoid_walls,include_walls,2,1,1,1,0.9,32.62,8.358325191089419
random,random,avoid_walls,include_walls,2,1,1,1,0.99,32.62,8.35832519108942
random,random,avoid_walls,exclude_walls,2,1,1,1,0.5,32.36,5.303809951346296
random,random,avoid_walls,exclude_walls,2,1,1,1,0.7,32.36,5.303809951346296
random,random,avoid_walls,exclude_walls,2,1,1,1,0.9,32.36,5.303809951346295
random,random,avoid_walls,exclude_walls,2,1,1,1,0.99,32.36,5.303809951346295
random,random,avoid_walls,False,2,1,1,1,0.5,31.4,5.05529425454147
random,random,avoid_walls,False,2,1,1,1,0.7,31.4,5.05529425454147
random,random,avoid_walls,False,2,1,1,1,0.9,31.4,5.05529425454147
random,random,avoid_walls,False,2,1,1,1,0.99,31.4,5.05529425454147
random,episodic_semantic,random,False,2,2,0,1,1.0,30.96,6.338012306709414
random,episodic_semantic,random,include_walls,2,0,2,1,0.9,30.52,6.530972362519995
random,random,random,include_walls,2,1,1,1,0.5,28.7,5.234500931320959
random,random,random,include_walls,2,1,1,1,0.7,28.7,5.234500931320959
random,random,random,include_walls,2,1,1,1,0.99,28.7,5.234500931320959
random,random,random,include_walls,2,1,1,1,0.9,28.699999999999996,5.23450093132096
random,random,random,False,2,1,1,1,0.5,28.360000000000003,5.29135143418012
random,random,random,False,2,1,1,1,0.7,28.360000000000003,5.29135143418012
random,random,random,False,2,1,1,1,0.99,28.360000000000003,5.29135143418012
random,random,random,False,2,1,1,1,0.9,28.359999999999996,5.29135143418012
random,episodic_semantic,random,False,2,0,2,1,0.99,27.179999999999996,4.0300868476994385
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,26.939999999999998,4.913491630195374
random,episodic_semantic,random,include_walls,2,0,2,1,0.99,25.98,7.738061772821409
random,random,random,exclude_walls,2,1,1,1,0.5,24.619999999999997,6.046288117514746
random,random,random,exclude_walls,2,1,1,1,0.7,24.619999999999997,6.046288117514746
random,random,random,exclude_walls,2,1,1,1,0.9,24.619999999999997,6.046288117514746
random,random,random,exclude_walls,2,1,1,1,0.99,24.619999999999997,6.046288117514746
random,random,avoid_walls,exclude_walls,2,0,2,1,0.9,23.2,4.668618639383602
random,random,random,include_walls,2,0,2,1,0.5,21.8,2.4754797514825286
random,random,avoid_walls,include_walls,2,0,2,1,0.7,21.66,3.7934680702491743
random,random,avoid_walls,include_walls,2,0,2,1,0.9,21.520000000000003,2.8805555019822138
random,random,avoid_walls,exclude_walls,2,0,2,1,0.7,21.26,4.47150981213281
random,random,avoid_walls,False,2,0,2,1,0.9,20.820000000000004,2.2480213522117616
random,random,avoid_walls,exclude_walls,2,0,2,1,0.5,20.7,1.9829271292712707
random,random,avoid_walls,include_walls,2,0,2,1,0.5,20.240000000000002,5.181737160451116
random,random,avoid_walls,False,2,2,0,1,1.0,19.580000000000002,2.9633764526296695
random,random,random,include_walls,2,0,2,1,0.7,19.16,2.8667751917442006
random,random,random,False,2,0,2,1,0.9,18.699999999999996,2.1232051243344348
random,random,avoid_walls,False,2,0,2,1,0.5,18.66,2.9506609429075374
random,random,random,False,2,0,2,1,0.7,18.54,2.0538743875904384
random,random,random,exclude_walls,2,0,2,1,0.7,18.339999999999996,1.9252012881774199
random,random,avoid_walls,False,2,0,2,1,0.7,18.0,2.285607140345865
random,random,random,exclude_walls,2,0,2,1,0.5,17.919999999999998,2.9054431675735812
random,random,random,False,2,0,2,1,0.5,17.859999999999996,3.7638278387832775
random,random,avoid_walls,False,2,0,2,1,0.99,17.419999999999998,2.627850832905095
random,random,random,False,2,0,2,1,0.99,17.4,1.9534584715319647
random,random,avoid_walls,exclude_walls,2,0,2,1,0.99,17.240000000000002,2.694884042032236
random,random,random,exclude_walls,2,0,2,1,0.9,15.84,3.4249671531271653
random,random,random,include_walls,2,0,2,1,0.9,15.419999999999998,1.2655433615645095
random,random,random,include_walls,2,0,2,1,0.99,14.520000000000001,2.6813429471069155
random,random,random,exclude_walls,2,0,2,1,0.99,14.34,3.455198981245508
random,random,avoid_walls,include_walls,2,0,2,1,0.99,14.059999999999999,3.2781702213277453
random,random,random,False,2,2,0,1,1.0,12.6,2.514756449439984
semantic,semantic,avoid_walls,False,6,0,6,1,0.5,174.88,12.081456865792312
semantic,semantic,avoid_walls,False,6,0,6,1,0.7,168.38,26.903412422962255
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.5,165.57999999999998,16.06952395063401
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.5,159.08,15.862332741434976
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.7,157.78,15.532340454677142
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.7,154.92000000000002,13.281776989544733
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.9,140.56,38.11564508177711
episodic,episodic,avoid_walls,False,6,6,0,1,1.0,130.14000000000001,16.6495165094966
random,episodic_semantic,avoid_walls,False,6,3,3,1,0.5,128.8,18.308140266012817
random,episodic_semantic,avoid_walls,False,6,3,3,1,0.9,127.63999999999999,11.540121316520032
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,0.5,127.38,15.388489204597052
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,0.7,125.0,5.198846025802265
random,episodic_semantic,avoid_walls,exclude_walls,6,3,3,1,0.5,123.83999999999999,5.099254847524291
random,episodic_semantic,avoid_walls,exclude_walls,6,3,3,1,0.9,123.44000000000001,18.657716902129263
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,0.9,120.7,4.624716207509388
random,episodic_semantic,avoid_walls,False,6,3,3,1,0.7,118.8,17.256071395308958
random,episodic_semantic,avoid_walls,exclude_walls,6,3,3,1,0.7,116.55999999999999,16.994422614493256
random,episodic_semantic,avoid_walls,include_walls,6,0,6,1,0.5,111.78,9.056577720088313
semantic,semantic,random,False,6,0,6,1,0.7,110.71999999999998,24.084966265286727
semantic,semantic,random,include_walls,6,0,6,1,0.5,110.68000000000002,15.512240328205333
semantic,semantic,avoid_walls,False,6,0,6,1,0.9,108.1,13.789416231298548
random,episodic_semantic,avoid_walls,include_walls,6,0,6,1,0.7,107.38,15.600564092365381
random,episodic_semantic,avoid_walls,False,6,3,3,1,0.99,106.7,23.31823320922921
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.9,104.72,14.06362684374127
random,episodic_semantic,avoid_walls,False,6,0,6,1,0.7,104.5,13.586905460773622
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,0.99,103.30000000000003,14.566125085279202
semantic,semantic,random,exclude_walls,6,0,6,1,0.5,102.16,10.732120014237632
random,episodic_semantic,avoid_walls,False,6,0,6,1,0.5,100.28,13.575183240015587
semantic,semantic,random,include_walls,6,0,6,1,0.7,99.5,12.513992168768526
random,episodic_semantic,avoid_walls,False,6,0,6,1,0.9,99.16,15.880251887171061
semantic,semantic,random,False,6,0,6,1,0.5,98.35999999999999,13.887634787824743
semantic,semantic,random,exclude_walls,6,0,6,1,0.7,97.64,14.812238183340156
semantic,semantic,random,exclude_walls,6,0,6,1,0.9,96.62,12.649648216452503
random,episodic_semantic,avoid_walls,False,6,6,0,1,1.0,95.98,12.575436374138276
random,episodic_semantic,avoid_walls,exclude_walls,6,0,6,1,0.7,95.35999999999999,22.528524141629877
random,episodic_semantic,avoid_walls,exclude_walls,6,0,6,1,0.5,93.26,4.934207129823393
random,episodic_semantic,random,exclude_walls,6,3,3,1,0.9,92.38,11.354540941843485
random,episodic_semantic,avoid_walls,exclude_walls,6,0,6,1,0.9,91.82000000000001,15.957117534191445
random,episodic_semantic,random,include_walls,6,3,3,1,0.7,90.47999999999999,19.217741802823767
random,episodic_semantic,avoid_walls,include_walls,6,0,6,1,0.9,88.9,14.966896805951459
random,episodic_semantic,avoid_walls,exclude_walls,6,3,3,1,0.99,88.46000000000001,7.982380597290508
random,episodic_semantic,random,include_walls,6,3,3,1,0.5,85.02,10.492930953742146
random,episodic_semantic,random,exclude_walls,6,3,3,1,0.5,84.79999999999998,12.07443580462458
random,episodic_semantic,random,exclude_walls,6,0,6,1,0.9,83.48,3.976631740556321
semantic,semantic,random,include_walls,6,0,6,1,0.9,83.3,21.960783228291294
random,episodic_semantic,random,False,6,3,3,1,0.5,81.86,10.44003831410594
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.99,80.5,13.321111064772339
random,episodic_semantic,random,exclude_walls,6,3,3,1,0.7,80.46000000000001,15.84292902212214
episodic,episodic,random,False,6,6,0,1,1.0,80.2,15.330622948856318
random,episodic_semantic,random,False,6,3,3,1,0.9,79.38,15.58812368439512
random,episodic_semantic,random,False,6,0,6,1,0.9,78.7,19.05644248016927
semantic,semantic,random,False,6,0,6,1,0.9,78.24000000000001,9.199043428531034
random,episodic_semantic,random,exclude_walls,6,0,6,1,0.5,77.6,25.326665789242767
random,episodic_semantic,random,exclude_walls,6,0,6,1,0.7,77.4,5.244044240850759
