mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,315.48,42.27904445467045
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,314.78000000000003,30.47099604541998
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,305.54,39.78289079491334
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,295.08000000000004,19.499579482645263
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,284.82,8.526757883275435
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,284.06,23.986712988652698
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,283.98,24.12313412473595
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,262.41999999999996,39.673890658719124
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,261.52000000000004,30.165967579376602
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,253.6,12.49975999769596
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,252.52000000000004,28.94383526763514
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,252.06,19.340175800648765
semantic,semantic,random,include_walls,2,0,2,1,0.9,250.64000000000001,13.33695617448
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,240.07999999999998,23.25367927877221
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,237.14000000000001,12.778513215550557
semantic,semantic,random,False,2,0,2,1,0.99,232.87999999999997,19.312524433641496
semantic,semantic,random,include_walls,2,0,2,1,0.99,232.12000000000003,27.77742968670788
episodic,episodic,random,False,2,2,0,1,1.0,231.30000000000004,16.95311180875063
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,230.66000000000003,37.30525968278467
semantic,semantic,random,False,2,0,2,1,0.9,229.78000000000003,23.582485025967898
semantic,semantic,random,False,2,0,2,1,0.7,228.77999999999997,18.869912559415855
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,228.26,22.830208058622674
semantic,semantic,random,False,2,0,2,1,0.5,225.08,22.331627795572807
semantic,semantic,random,include_walls,2,0,2,1,0.7,225.07999999999998,16.6149811916836
semantic,semantic,random,include_walls,2,0,2,1,0.5,222.82,8.743774928484838
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,218.64000000000001,12.410898436454955
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,218.64000000000001,12.410898436454955
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,218.63999999999996,12.410898436454953
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,218.63999999999996,12.410898436454955
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,215.38000000000002,19.259013474215134
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,207.0,14.132515699619795
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,207.0,14.132515699619795
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,207.0,14.132515699619795
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,207.0,14.132515699619795
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,206.74,13.545272237943392
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,206.74,13.545272237943392
