mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,22.86,1.656019323558756
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,22.46,2.6702808841018952
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,22.02,3.1618981640780275
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,21.96,1.7681628884240277
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,21.74,1.2175385004179542
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,21.419999999999998,3.4365098573989283
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,21.34,1.4894294209528698
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,20.46,2.0616498247762642
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,20.360000000000003,3.4412788320622902
semantic,semantic,random,include_walls,2,0,2,1,0.5,20.259999999999998,1.4108153670838717
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,20.22,1.2464349160706305
semantic,semantic,random,False,2,0,2,1,0.99,20.080000000000002,5.193226357477594
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,20.0,2.216303228351211
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,19.88,2.618701968533265
semantic,semantic,random,False,2,0,2,1,0.5,19.46,1.5894653189044414
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,19.220000000000002,2.2364257197590978
episodic,episodic,random,False,2,2,0,1,1.0,18.9,2.090932806189621
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,18.9,0.2607680962081061
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,18.9,0.2607680962081061
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,18.9,0.2607680962081061
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,18.9,0.2607680962081061
semantic,semantic,random,include_walls,2,0,2,1,0.9,18.48,1.6277591959500652
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,18.28,1.6191355718407276
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,18.279999999999998,1.6191355718407276
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,18.279999999999998,1.6191355718407276
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,18.279999999999998,1.6191355718407276
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,18.279999999999998,2.7874002224294947
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,17.880000000000003,1.5144636014114041
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,17.880000000000003,1.5144636014114041
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,17.880000000000003,1.5144636014114041
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,17.88,1.5144636014114041
semantic,semantic,random,include_walls,2,0,2,1,0.7,17.44,2.5819372571772536
semantic,semantic,random,False,2,0,2,1,0.9,17.2,2.06688170924221
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,17.1,1.9728152473052307
semantic,semantic,random,False,2,0,2,1,0.7,16.560000000000002,1.7613631085043202
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,16.36,2.254417884953896
semantic,semantic,random,include_walls,2,0,2,1,0.99,16.119999999999997,1.780337046741431
random,episodic_semantic,random,False,2,1,1,1,0.5,16.06,2.8924729903665476
random,episodic_semantic,random,False,2,1,1,1,0.7,16.06,2.8924729903665476
random,episodic_semantic,random,False,2,1,1,1,0.9,16.06,2.8924729903665476
random,episodic_semantic,random,False,2,1,1,1,0.99,16.06,2.8924729903665476
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,15.440000000000001,2.254417884953896
random,episodic_semantic,random,include_walls,2,1,1,1,0.5,14.64,1.5252540771950096
random,episodic_semantic,random,include_walls,2,1,1,1,0.9,14.64,1.5252540771950096
random,episodic_semantic,random,include_walls,2,1,1,1,0.99,14.64,1.5252540771950096
random,episodic_semantic,random,include_walls,2,1,1,1,0.7,14.639999999999997,1.5252540771950096
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.5,13.84,1.9147845831842278
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.7,13.84,1.9147845831842278
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.99,13.84,1.9147845831842278
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.9,13.839999999999998,1.9147845831842278
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.5,12.559999999999999,2.7155846515989883
random,episodic_semantic,random,False,2,0,2,1,0.5,12.499999999999998,0.7668115805072321
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,12.42,1.0759182125050213
random,episodic_semantic,random,False,2,0,2,1,0.7,12.24,1.471869559437928
random,episodic_semantic,random,include_walls,2,0,2,1,0.7,12.1,2.1232051243344343
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.5,11.98,1.722091751330341
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.9,11.860000000000001,3.4389533291395504
random,episodic_semantic,avoid_walls,False,2,2,0,1,1.0,11.14,1.649969696691427
random,episodic_semantic,random,include_walls,2,0,2,1,0.5,11.099999999999998,1.3069047402163636
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,10.860000000000003,1.3169662106523456
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.9,10.66,0.7418894796396563
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.7,10.62,1.5328405005087782
random,episodic_semantic,random,False,2,0,2,1,0.9,10.3,1.2214745187681977
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.7,9.879999999999999,1.9630588376307012
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.9,9.780000000000001,2.5087048451342375
random,episodic_semantic,random,False,2,0,2,1,0.99,9.76,1.9652989594461194
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.7,9.52,1.8882796403075472
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.99,9.22,1.900947132352712
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.5,9.16,0.9728309205612247
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.99,8.88,2.1367264682218923
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.99,8.559999999999999,1.5278743403827424
random,episodic_semantic,random,False,2,2,0,1,1.0,8.52,2.044896085379402
random,random,avoid_walls,exclude_walls,2,1,1,1,0.5,8.5,0.6752777206453653
