mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,386.62000000000006,30.642806659965068
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,373.82,8.987413421001612
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,367.12,14.738710934135318
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,365.08,13.668855109335228
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,350.34000000000003,15.403973513350389
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,345.62,12.42809719949115
semantic,semantic,random,False,2,0,2,1,0.5,342.74,12.579920508492876
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,339.48,17.88366852745823
episodic,episodic,random,False,2,2,0,1,1.0,338.2,14.954330476487398
semantic,semantic,random,include_walls,2,0,2,1,0.5,329.74,22.773633877798236
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,329.26,6.227230524077293
semantic,semantic,random,False,2,0,2,1,0.7,324.1,9.917056014765668
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,323.73999999999995,10.88845259896924
semantic,semantic,random,include_walls,2,0,2,1,0.7,323.3,24.720275079375632
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,321.64,36.54556607852724
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,317.53999999999996,31.398891700185857
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.9,313.82000000000005,16.399804876888016
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.5,313.82,16.399804876888016
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.7,313.82,16.399804876888016
random,episodic_semantic,avoid_walls,include_walls,2,1,1,1,0.99,313.82,16.399804876888016
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.5,310.94000000000005,11.70685269404207
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.7,310.94000000000005,11.706852694042071
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.99,310.94000000000005,11.70685269404207
random,episodic_semantic,avoid_walls,exclude_walls,2,1,1,1,0.9,310.94,11.70685269404207
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,308.9,14.709452743049281
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.7,308.9,14.709452743049281
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.9,308.9,14.709452743049281
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.99,308.9,14.709452743049281
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,302.46000000000004,37.04670565650878
random,episodic_semantic,random,include_walls,2,1,1,1,0.9,290.78000000000003,14.205407421119618
random,episodic_semantic,random,include_walls,2,1,1,1,0.5,290.78,14.205407421119618
random,episodic_semantic,random,include_walls,2,1,1,1,0.7,290.78,14.205407421119618
random,episodic_semantic,random,include_walls,2,1,1,1,0.99,290.78,14.205407421119618
random,episodic_semantic,random,False,2,1,1,1,0.5,287.64,23.254642547242053
random,episodic_semantic,random,False,2,1,1,1,0.7,287.64,23.254642547242053
random,episodic_semantic,random,False,2,1,1,1,0.9,287.64,23.254642547242053
random,episodic_semantic,random,False,2,1,1,1,0.99,287.64,23.254642547242053
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.99,277.32000000000005,9.673551571165568
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.5,277.32,9.673551571165568
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.7,277.32,9.673551571165568
random,episodic_semantic,random,exclude_walls,2,1,1,1,0.9,277.32,9.673551571165568
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,274.74,27.11579613435682
semantic,semantic,random,False,2,0,2,1,0.9,273.92,33.88535967051258
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,262.22,23.529674880881803
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,259.06,17.242111239636518
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,256.4,11.785584414868872
semantic,semantic,random,include_walls,2,0,2,1,0.9,251.4,15.567658783516556
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,249.54000000000002,9.406508385155458
semantic,semantic,random,False,2,0,2,1,0.99,241.88000000000002,8.867558852356165
semantic,semantic,random,include_walls,2,0,2,1,0.99,233.04000000000002,11.25035110563222
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,208.74,8.98478714272075
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.9,207.64000000000001,16.207109551058135
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.7,207.45999999999998,9.03274044794823
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,205.47999999999996,6.2996507839720755
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.7,200.57999999999998,15.718956708382402
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.5,200.34,10.484006867605533
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.7,199.61999999999998,25.512302914476386
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.5,199.53999999999996,14.78913114418829
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.9,198.1,31.06689556424974
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.5,192.14000000000001,13.747814371746516
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,188.73999999999995,5.605925436535877
random,episodic_semantic,random,include_walls,2,0,2,1,0.7,187.36,26.187218256240964
random,episodic_semantic,random,False,2,0,2,1,0.9,186.60000000000002,19.988496691847544
random,episodic_semantic,random,include_walls,2,0,2,1,0.5,185.37999999999997,9.193780506407581
random,episodic_semantic,random,False,2,0,2,1,0.5,185.04000000000002,23.09030965578417
random,episodic_semantic,random,False,2,0,2,1,0.7,182.76,21.70093085561078
random,episodic_semantic,avoid_walls,False,2,2,0,1,1.0,182.5,17.467340953905946
random,episodic_semantic,random,False,2,2,0,1,1.0,172.6,11.589995685935344
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.9,169.98,10.750144185079568
random,episodic_semantic,random,False,2,0,2,1,0.99,169.14000000000001,29.504074294917313
random,episodic_semantic,random,include_walls,2,0,2,1,0.9,164.68,11.071115571612465
random,episodic_semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,157.04000000000002,8.457328183297603
random,episodic_semantic,avoid_walls,False,2,0,2,1,0.99,156.1,16.240443343702168
random,random,avoid_walls,include_walls,2,1,1,1,0.5,154.95999999999998,8.704159925001377
random,random,avoid_walls,include_walls,2,1,1,1,0.7,154.95999999999998,8.704159925001377
random,random,avoid_walls,include_walls,2,1,1,1,0.9,154.95999999999998,8.704159925001377
random,random,avoid_walls,include_walls,2,1,1,1,0.99,154.95999999999998,8.704159925001377
random,random,avoid_walls,exclude_walls,2,1,1,1,0.7,153.28000000000003,10.980601076443858
random,random,avoid_walls,exclude_walls,2,1,1,1,0.9,153.28000000000003,10.980601076443858
random,random,avoid_walls,exclude_walls,2,1,1,1,0.5,153.28,10.980601076443858
random,random,avoid_walls,exclude_walls,2,1,1,1,0.99,153.27999999999997,10.980601076443858
random,random,avoid_walls,False,2,1,1,1,0.5,150.38,10.596489984895937
random,random,avoid_walls,False,2,1,1,1,0.7,150.38,10.596489984895937
random,random,avoid_walls,False,2,1,1,1,0.9,150.38,10.596489984895937
random,random,avoid_walls,False,2,1,1,1,0.99,150.38,10.596489984895937
random,episodic_semantic,avoid_walls,include_walls,2,0,2,1,0.99,149.06,15.49239813586005
random,episodic_semantic,random,include_walls,2,0,2,1,0.99,143.45999999999998,5.147659662409699
random,random,random,exclude_walls,2,1,1,1,0.9,138.58,3.8917348316656932
random,random,random,exclude_walls,2,1,1,1,0.99,138.58,3.8917348316656932
random,random,random,exclude_walls,2,1,1,1,0.5,138.57999999999998,3.8917348316656932
random,random,random,exclude_walls,2,1,1,1,0.7,138.57999999999998,3.8917348316656932
random,random,random,False,2,1,1,1,0.5,138.52,5.930733512812729
random,random,random,False,2,1,1,1,0.7,138.52,5.93073351281273
random,random,random,False,2,1,1,1,0.9,138.52,5.93073351281273
random,random,random,False,2,1,1,1,0.99,138.52,5.93073351281273
random,episodic_semantic,random,exclude_walls,2,0,2,1,0.99,138.08,4.622726468221973
random,random,random,include_walls,2,1,1,1,0.5,136.3,6.278534860936905
random,random,random,include_walls,2,1,1,1,0.7,136.3,6.278534860936905
random,random,random,include_walls,2,1,1,1,0.9,136.3,6.278534860936905
random,random,random,include_walls,2,1,1,1,0.99,136.3,6.278534860936905
random,random,avoid_walls,False,2,0,2,1,0.7,109.6,10.504475236774084
random,random,random,include_walls,2,0,2,1,0.5,103.12,7.33577535097688
random,random,avoid_walls,False,2,0,2,1,0.5,101.82000000000001,4.799749993489245
random,random,avoid_walls,include_walls,2,0,2,1,0.7,99.88,6.352763178334295
random,random,random,False,2,0,2,1,0.5,99.14,4.793579038672458
random,random,avoid_walls,include_walls,2,0,2,1,0.5,98.94,2.781797979724624
random,random,avoid_walls,False,2,0,2,1,0.9,98.82,9.607163993603937
random,random,random,include_walls,2,0,2,1,0.7,97.22000000000001,6.598302812087364
random,random,avoid_walls,exclude_walls,2,0,2,1,0.5,97.1,9.26110144637235
random,random,random,False,2,0,2,1,0.7,96.76,10.39973076574581
random,random,random,exclude_walls,2,0,2,1,0.5,96.61999999999999,6.230056179521976
random,random,avoid_walls,exclude_walls,2,0,2,1,0.7,96.1,5.629920070480576
random,random,avoid_walls,False,2,0,2,1,0.99,96.02000000000001,26.32522744441157
random,random,random,include_walls,2,0,2,1,0.9,95.3,16.549682776415988
random,random,random,False,2,0,2,1,0.9,93.03999999999999,9.969674016736953
random,random,random,exclude_walls,2,0,2,1,0.7,92.62,4.4647060373556515
random,random,avoid_walls,False,2,2,0,1,1.0,91.24000000000001,4.987424184887427
random,random,avoid_walls,exclude_walls,2,0,2,1,0.9,87.41999999999999,7.920454532411635
random,random,avoid_walls,exclude_walls,2,0,2,1,0.99,86.02,11.329148246889527
random,random,random,False,2,2,0,1,1.0,85.0,1.6769019053003682
random,random,random,exclude_walls,2,0,2,1,0.9,82.1,9.038805230781334
random,random,avoid_walls,include_walls,2,0,2,1,0.9,81.24,6.0204983182457585
random,random,random,exclude_walls,2,0,2,1,0.99,77.46000000000001,2.355079616488581
random,random,random,False,2,0,2,1,0.99,77.4,6.736467917239717
random,random,avoid_walls,include_walls,2,0,2,1,0.99,76.8,7.194164301710101
random,random,random,include_walls,2,0,2,1,0.99,76.46,10.981183907029337
semantic,semantic,avoid_walls,False,6,0,6,1,0.7,622.9,21.068364910452804
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.7,621.28,4.470525696156998
semantic,semantic,avoid_walls,False,6,0,6,1,0.5,615.76,8.41108792012068
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.5,615.5799999999999,9.468136036200557
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.7,608.26,9.733981713564063
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.5,601.3399999999999,12.365532742263882
episodic,episodic,avoid_walls,False,6,6,0,1,1.0,528.04,6.371373478301189
semantic,semantic,avoid_walls,False,6,0,6,1,0.9,516.3399999999999,36.14717692987934
semantic,semantic,avoid_walls,include_walls,6,0,6,1,0.9,503.0400000000001,39.288603945673636
random,episodic_semantic,avoid_walls,False,6,3,3,1,0.7,490.08000000000004,20.970016690503606
semantic,semantic,avoid_walls,False,6,0,6,1,0.99,489.86,52.0450804591558
semantic,semantic,random,False,6,0,6,1,0.5,489.6,18.426177031603725
random,episodic_semantic,avoid_walls,False,6,3,3,1,0.5,480.48,19.115794516577118
semantic,semantic,random,exclude_walls,6,0,6,1,0.7,478.7,11.17175008671426
semantic,semantic,random,exclude_walls,6,0,6,1,0.5,476.2799999999999,16.589321866791302
semantic,semantic,random,include_walls,6,0,6,1,0.7,475.73999999999995,30.39530226860724
random,episodic_semantic,avoid_walls,exclude_walls,6,3,3,1,0.5,474.6,14.931577277702441
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,0.7,474.1,13.086328744151274
semantic,semantic,random,include_walls,6,0,6,1,0.5,473.18,21.77295570197118
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,0.5,473.03999999999996,14.96109621652104
random,episodic_semantic,avoid_walls,exclude_walls,6,3,3,1,0.7,472.98,20.996228232708837
