mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
semantic,semantic,avoid_walls,False,2,0,2,1,0.5,12.72,0.8280096617793778
episodic,episodic,avoid_walls,False,2,2,0,1,1.0,12.500000000000002,1.5165750888103104
episodic,episodic,random,False,2,2,0,1,1.0,12.5,1.2328828005937953
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.9,12.4,0.6663332499583073
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.7,12.16,1.897998946258928
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.7,11.74,1.1568923891183656
semantic,semantic,random,exclude_walls,2,0,2,1,0.5,11.580000000000002,0.9064215354899732
semantic,semantic,random,False,2,0,2,1,0.9,11.540000000000001,0.7964923100695953
semantic,semantic,random,False,2,0,2,1,0.7,11.54,1.0928860873851398
semantic,semantic,avoid_walls,False,2,0,2,1,0.7,11.5,0.8318653737234171
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.5,11.5,1.8536450577173615
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.9,11.44,2.777480873021451
semantic,semantic,avoid_walls,False,2,0,2,1,0.9,11.260000000000002,1.5027973915335358
semantic,semantic,random,False,2,0,2,1,0.99,11.260000000000002,1.1842297074469967
semantic,semantic,avoid_walls,False,2,0,2,1,0.99,11.18,3.2963009571336177
semantic,semantic,random,False,2,0,2,1,0.5,11.0,1.4587666023048373
semantic,semantic,random,include_walls,2,0,2,1,0.9,10.86,1.3290598180668922
semantic,semantic,random,exclude_walls,2,0,2,1,0.9,10.680000000000001,1.0303397497913005
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.5,10.419999999999998,1.6773789077009402
semantic,semantic,random,include_walls,2,0,2,1,0.5,10.419999999999998,1.509171958393079
semantic,semantic,avoid_walls,exclude_walls,2,0,2,1,0.99,10.16,1.3047605144240069
semantic,semantic,random,exclude_walls,2,0,2,1,0.99,10.040000000000001,1.3230268326832981
random,episodic_semantic,random,False,2,1,1,1,0.5,10.02,1.5184202316881843
random,episodic_semantic,random,False,2,1,1,1,0.7,10.02,1.5184202316881843
random,episodic_semantic,random,False,2,1,1,1,0.9,10.02,1.5184202316881845
random,episodic_semantic,random,False,2,1,1,1,0.99,10.02,1.5184202316881845
semantic,semantic,random,exclude_walls,2,0,2,1,0.7,9.98,0.9826494797230595
semantic,semantic,random,include_walls,2,0,2,1,0.7,9.9,1.2569805089976533
semantic,semantic,random,include_walls,2,0,2,1,0.99,9.540000000000001,0.7499333303701068
semantic,semantic,avoid_walls,include_walls,2,0,2,1,0.99,9.4,0.8786353054595518
random,episodic_semantic,avoid_walls,False,2,1,1,1,0.5,9.14,1.2273548794053004
